empnum,costcenterlv2,effectivedate
GH00265,Crypto Pay Tech,
GH00266,Main App Tech,
GH00267,Crypto Pay Tech,
GH00267,Cronos,13/9/2022
GH00268,Main App Tech,
GH00269,Quant,
GH00270,Quant,
GH00273,Product QA,
GH00274,Main App Tech,
GH00275,Others Tech,
GH00276,Quant,
GH00277,Quant,
GH00278,NFT Tech,
GH00279,Main App Tech,
GH00280,Crypto Pay Tech,
GH00281,Blockchain Security,
GH00283,NFT Tech,
GH00284,Crypto Pay Tech,
GH00285,Others Tech,
GH00286,Main App Tech,
GH00287,Defi Wallet Tech,
GH00288,NFT Tech,
GH00289,Quant,
GH00290,Main App Tech,
GH00291,Main App Tech,
GH00292,Main App Tech,
GH00293,NFT Tech,
GH00293,Cronos,13/9/2022
GH00294,Crypto Pay Tech,
GH00295,Main App Tech,
GH00296,Others Tech,
GH00296,Cronos,13/9/2022
GH00297,Main App Tech,
GH00298,Main App Tech,
GH00299,Others Tech,
GH00300,Blockchain Security,
GH00301,Main App Tech,
GH00302,Main App Tech,
GH00303,Blockchain Security,
GH00304,Crypto Pay Tech,
GH00305,Defi Wallet Tech,
GH00306,Main App Tech,
GH00307,Product Management,
GH00308,Application Security,
GH00309,Product Management,
GH00310,Main App Tech,
GH00311,NFT Tech,
GH00312,Others Tech,
GH00313,Main App Tech,
GH00314,Main App Tech,
GH00315,Product QA,
GH00316,NFT,
GH00316,Cronos,13/9/2022
GH00317,Crypto Pay Tech,
GH00318,Crypto Pay Tech,
GH00319,Product QA,
GH00320,Main App Tech,
GH00321,Defi Wallet Tech,
GH00322,Product QA,
GH00323,Main App Tech,
GH00324,Others Tech,
GH00326,Main App Tech,
GH00327,Exchange and Derivatives Tech,
GH00328,Main App Tech,
GH00329,Main App Tech,
GH00330,Crypto Pay Tech,
GH00331,Blockchain,
GH00332,NFT Tech,
GH00332,Cronos,13/9/2022
GH00333,Main App Tech,
GH00334,Main App Tech,
GH00335,Defi Wallet Tech,
GH00336,NFT Tech,
GH00337,Main App Tech,
GH00338,Main App Tech,
GH00339,Main App Tech,
GH00340,Main App Tech,
GH00341,Main App Tech,
GH00342,Defi Wallet Tech,
GH00344,Quant,
GH00345,Crypto Pay Tech,
GH00346,Crypto Pay Tech,
GH00347,Exchange and Derivatives Tech,
GH00348,Main App Tech,
GH00349,Main App Tech,
GH00350,Crypto Pay Tech,
GH00351,Main App Tech,
GH00352,Blockchain,
GH00353,Defi Wallet Tech,
GH00354,Main App Tech,
GH00355,Main App Tech,
GH00356,Crypto Pay Tech,
GH00357,Quant,
GH00358,Main App Tech,
GH00359,Others Tech,
GH00359,Cronos,13/9/2022
GH00360,Main App Tech,
GH00360,Cronos,13/9/2022
GH00363,Main App Tech,
GH00364,Product QA,
GH00367,Others Tech,
GH00369,Product QA,
GH00370,Product QA,
GH00371,Others Tech,
GH00372,Product Management,
GH00373,Main App Tech,
GH00374,Main App Tech,
GH00376,Product QA,
GH00377,Main App Tech,
GH00378,Product Management,
GH00379,Quant,
GH00380,Quant Trading Desk Quant,
GH00381,Main App Tech,
GH00382,Main App Tech,
GH00383,Main App Tech,
GH00384,Main App Tech,
GH00384,Cronos,13/9/2022
GH00385,Others Tech,
GH00386,Blockchain,
GH00387,Product QA,
GH00389,Product QA,
GH00390,Blockchain,
GH00391,Product QA,
GH00393,Exchange and Derivatives Tech,
GH00394,Others Tech,
GH00394,Cronos,13/9/2022
GH00395,Others Tech,
GH00398,Product QA,
GH00399,Others Tech,
GH00400,Others Tech,
GH00401,Main App Tech,
GH00402,Crypto Pay Tech,
GH00403,Product Management,
GH00404,Crypto Pay Tech,
GH00405,Defi Wallet Tech,
GH00406,Crypto Pay Tech,
GH00407,Product QA,
GH00408,Main App Tech,
GH00409,Blockchain,
GH00410,Main App Tech,
GH00411,Others Tech,
GH00412,Product QA,
GH00413,Others Tech,
GH00414,Main App Tech,
GH00415,Defi Wallet Tech,
GH00416,Main App Tech,
GH00417,Product QA,
GH00418,Crypto Pay Tech,
GH00419,Others Tech,
GH00420,Main App Tech,
GH00421,Others Tech,
GH00422,Main App Tech,
GH00423,Defi Wallet Tech,
GH00424,Main App Tech,
GH00424,Cronos,13/9/2022
GH00425,Main App Tech,
GH00426,Defi Wallet Tech,
GH00427,Main App Tech,
GH00428,Others Tech,
GH00429,Main App Tech,
GH00430,Main App Tech,
GH00431,Quant,
GH00432,Main App Tech,
GH00433,Main App Tech,
GH00434,Crypto Pay Tech,
GH00435,Main App Tech,
