empnum,exitdate,exittype,exitreason
1622,2022-07-22,Termination (Involuntary),
3112,2022-07-22,Termination (Involuntary),
4109,2022-07-22,Termination (Involuntary),
4870,2022-07-22,Termination (Involuntary),
4987,2022-07-22,Termination (Involuntary),
5002,2022-07-22,Termination (Involuntary),
5344,2022-07-22,Termination (Involuntary),
5516,2022-07-22,Termination (Involuntary),
5652,2022-07-22,Termination (Involuntary),
50,2022-07-21,Termination (Involuntary),
246,2022-07-21,Termination (Involuntary),
3214,2022-07-21,Termination (Involuntary),
3249,2022-07-21,Termination (Involuntary),
3252,2022-07-21,Termination (Involuntary),
4315,2022-07-21,Termination (Involuntary),
4571,2022-07-21,Termination (Involuntary),
4574,2022-07-21,Termination (Involuntary),
5033,2022-07-21,Termination (Involuntary),
5204,2022-07-21,Termination (Involuntary),
5213,2022-07-21,Termination (Involuntary),
5298,2022-07-21,Termination (Involuntary),
5321,2022-07-21,Termination (Involuntary),
5350,2022-07-21,Termination (Involuntary),
5367,2022-07-21,Termination (Involuntary),
5371,2022-07-21,Termination (Involuntary),
5389,2022-07-21,Termination (Involuntary),
5465,2022-07-21,Termination (Involuntary),
5470,2022-07-21,Termination (Involuntary),
5502,2022-07-21,Termination (Involuntary),
5558,2022-07-21,Termination (Involuntary),
5586,2022-07-21,Termination (Involuntary),
5645,2022-07-21,Termination (Involuntary),
5655,2022-07-21,Termination (Involuntary),
3912,2022-07-20,Termination (Involuntary),
5638,2022-07-20,Termination (Involuntary),
5646,2022-07-20,Termination (Involuntary),
3648,2022-07-19,Termination (Involuntary),
4138,2022-07-19,Termination (Involuntary),
5263,2022-07-19,Resignation (Voluntary),
5266,2022-07-19,Termination (Involuntary),
5648,2022-07-19,Termination (Involuntary),
4738,2022-07-11,Resignation (Voluntary),
2473,2022-07-09,Termination (Involuntary),
5307,2022-07-08,Termination (Involuntary),
5468,2022-07-05,Resignation (Voluntary),
5295,2022-07-01,Termination (Involuntary),
2173,2022-06-30,Termination (Involuntary),
412,2022-06-25,Termination (Involuntary),
2806,2022-06-24,Termination (Involuntary),
5196,2022-06-21,Termination (Involuntary),
2346,2022-06-18,Termination (Involuntary),
2522,2022-06-18,Termination (Involuntary),
2934,2022-06-18,Termination (Involuntary),
2951,2022-06-18,Termination (Involuntary),
3115,2022-06-18,Termination (Involuntary),
3376,2022-06-18,Termination (Involuntary),
3459,2022-06-18,Termination (Involuntary),
4085,2022-06-18,Termination (Involuntary),
4286,2022-06-18,Termination (Involuntary),
5272,2022-06-18,Termination (Involuntary),
5357,2022-06-18,Termination (Involuntary),
1243,2022-06-17,Termination (Involuntary),
3097,2022-06-17,Termination (Involuntary),
3122,2022-06-17,Termination (Involuntary),
4777,2022-06-17,Termination (Involuntary),
5466,2022-06-17,Termination (Involuntary),
609,2022-06-16,Termination (Involuntary),
752,2022-06-16,Termination (Involuntary),
1975,2022-06-16,Termination (Involuntary),
2218,2022-06-16,Termination (Involuntary),
2371,2022-06-16,Termination (Involuntary),
3375,2022-06-16,Termination (Involuntary),
4541,2022-06-16,Termination (Involuntary),
4588,2022-06-16,Termination (Involuntary),
4748,2022-06-16,Termination (Involuntary),
5206,2022-06-16,Termination (Involuntary),
